Is gateway,Status,Last active,Name,MAC,Serial,Tags,Model,Product description,Latitude,Longitude,Internet address,LAN IP,Usage,Client count,Download speed,Gateway node,Gateway route length,Ping latency,Last active timestamp,Clients probing,Current client count
true,OK,now,LVB Servicecenter Markgrafenstr 2,88:15:44:2c:a4:00,Q2DK-M6LS-8Q3M, LEIPZIGER LVB ,MR72,Meraki MR72 Cloud Managed AP,51.3366972107825,12.3748953935865,146.0.126.160,192.168.11.2,388152320,109,"",88:15:44:2c:a4:00,"","",Fri Feb 10 10:22:52 CET 2017,,1
true,OK,now,LVB Waldplatz 2-1,e0:55:3d:4a:f2:50,Q2DK-W6TC-492E, LEIPZIGER LVB ,MR72,Meraki MR72 Cloud Managed AP,51.3425905535844,12.3591524362564,146.0.126.160,192.168.13.43,212426752,158,"",e0:55:3d:4a:f2:50,"","",Fri Feb 10 10:21:29 CET 2017,,1
true,OK,now,Schauspielhaus Ring 1 aussen,00:18:0a:5e:82:30,Q2DK-62WV-9FSH, LEIPZIGER ,MR72,Meraki MR72 Cloud Managed AP,51.3411157767825,12.3699465303434,146.0.126.160,192.168.8.197,1276429312,71,"",00:18:0a:5e:82:30,"","",Fri Feb 10 10:22:53 CET 2017,,0
true,OK,now,LVB Rossplatz 1,00:18:0a:23:9c:f8,Q2CK-KSDU-3E32, LEIPZIGER LVB ,MR66,Meraki MR66 Cloud Managed AP,51.3353571059987,12.378644971177,146.0.126.160,192.168.1.230,660423680,500,"",00:18:0a:23:9c:f8,"","",Fri Feb 10 10:22:17 CET 2017,,2
true,OK,now,LVB Leuschnerplatz 1,00:18:0a:23:8f:68,Q2CK-E8LB-SX2Z, LEIPZIGER LVB ,MR66,Meraki MR66 Cloud Managed AP,51.3358277245238,12.3765331506729,146.0.126.160,192.168.1.221,13470720,23,"",00:18:0a:23:8f:68,"","",Fri Feb 10 10:22:34 CET 2017,,0
true,OK,now,LVB Rossplatz 2,00:18:0a:23:90:5a,Q2CK-EMXN-RXJE, LEIPZIGER LVB ,MR66,Meraki MR66 Cloud Managed AP,51.3355067,12.3786736,146.0.126.160,192.168.1.1,6365841408,341,"",00:18:0a:23:90:5a,"","",Fri Feb 10 10:22:12 CET 2017,,4
true,OK,now,LVB Leuschnerplatz 4,00:18:0a:23:8f:40,Q2CK-E76F-R47L, LEIPZIGER LVB ,MR66,Meraki MR66 Cloud Managed AP,51.3358545360714,12.3753207921982,146.0.126.160,192.168.1.226,1173237760,423,"",00:18:0a:23:8f:40,"","",Fri Feb 10 10:22:35 CET 2017,,3
true,Unreachable for <var data-var='duration'>about 1 hour</var>,about 1 hour,LVB Zentrale Vertrieb Zi23.05,88:15:44:ba:75:40,Q2JD-HL89-UTM6, LEIPZIGER LVB ,MR32,Meraki MR32 Cloud Managed AP,51.3401661609104,12.3833978887706,87.172.141.184,192.168.2.103,5991424,4,"",88:15:44:ba:75:40,"","",Fri Feb 10 09:28:58 CET 2017,,0
true,OK,now,LVB Hauptbahnhof Mobiturm innen,88:15:44:bb:4d:f0,Q2JD-P7NU-SRVY, LEIPZIGER LVB ,MR32,Meraki MR32 Cloud Managed AP,51.3437295105828,12.3788353978671,146.0.126.160,192.168.10.125,1420261376,25,"",88:15:44:bb:4d:f0,"","",Fri Feb 10 10:20:58 CET 2017,,0
true,OK,now,Schauspielhaus Baustelle,88:15:44:bb:6a:40,Q2JD-PXJV-2VPQ, LEIPZIGER SCHAUSPIEL ,MR32,Meraki MR32 Cloud Managed AP,51.3411258299549,12.3698204665197,146.0.126.160,192.168.8.193,95750144,5,"",88:15:44:bb:6a:40,"","",Fri Feb 10 10:22:24 CET 2017,,0
